# TESS-SN le2ba4010 G160M FUV z=0.007522  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1575.0924 1586.9402 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1045 1586.9525 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1167 1586.9647 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1289 1586.9770 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1410 1586.9892 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1532 1587.0015 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1653 1587.0137 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1775 1587.0260 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.1897 1587.0382 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2018 1587.0505 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2140 1587.0627 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2261 1587.0750 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2383 1587.0872 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2504 1587.0995 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2626 1587.1117 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2748 1587.1240 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2869 1587.1362 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.2991 1587.1485 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3112 1587.1607 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3234 1587.1730 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3355 1587.1852 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3477 1587.1975 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3599 1587.2097 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3720 1587.2220 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3842 1587.2342 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.3963 1587.2465 0.000000e+00 0.000000e+00 0.0000e+00 128 0
