name,canonical,ra,dec,z,z_source,ebv,host_ebv,host_ebv_err,host_ebv_src,otype,host,instr,gratings,n_spec,n_merged,is_remnant,has_uv,classification,tns_name,tns_type,tns_z,tns_disc_date,tns_disc_mjd,flags
SNAT2018AGK,SN 2018agk,197.65161,-4.48574,0.026128,tns,0.0335,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,12,1,False,True,EXT-STAR;SUPERNOVA,SN 2018agk,SN Ia,0.026128,2018-03-10 19:06:06.000,58187.796,name_unresolved
PTF10YGU,SN 2010jn,144.37624,23.15933,0.025047,ned,0.0303,0.0,,none (MW-only),SN*,,STIS,G230LB;G430L,10,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2010jn,SN Ia,,2010-10-12 00:00:00.000,55481.0,none
SN2002XX,SN 2001ig,344.37788,-41.04053,0.00292,simbad,0.0104,0.0,,none (MW-only),SN*,,STIS,E140M;G230L;G430L,10,1,False,True,STAR;SUPERNOVA,SN 2001ig,SN Ib/c,,2001-12-10 00:00:00.000,52253.0,name_unresolved
SN2001EP,SN 2001ep,74.25108,-4.76117,0.013,ned,0.0452,0.0,,none (MW-only),SN*,,STIS,G140L;G230L;G430L,10,1,False,True,STAR;SUPERNOVA,SN 2001ep,SN Ia,,2001-10-03 00:00:00.000,52185.0,none
SN2014C,SN 2014C,339.2733,34.4089,0.003,ned,0.0909,0.67,0.05,"Milisavljevic+2015 ApJ 815 120 (Na I D EW, Turatto+2003; host; total 0.75)",SN*,,COS;STIS,G140L;G230LB;G430L,10,1,False,True,STAR;SUPERNOVA;SUPERNOVA TYPE IB,SN 2014C,SN Ib,,2014-01-05 00:00:00.000,56662.0,none
SN2001EH,SN 2001eh,24.55042,41.65522,0.037,ned,0.0625,0.0,,none (MW-only),SN*,,STIS,G140L;G230L;G430L,10,1,False,True,EXT-STAR;SUPERNOVA,SN 2001eh,SN Ia,,2001-09-09 00:00:00.000,52161.0,none
SN-MRK1309,SN 2014ad,179.43517,-10.17103,0.0057239598736002,simbad,0.0442,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,10,1,False,True,STAR;SUPERNOVA;SUPERNOVA TYPE IA,SN 2014ad,SN I,,2014-03-12 00:00:00.000,56728.0,name_unresolved
SN2016CCJ,SN 2016ccj,257.59988,26.3969,0.03,ned,,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,10,1,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,SN 2016ccj,SN Ia-pec,0.03,2016-05-03 10:04:48.000,57511.42,none
SN2011DH,SN 2011dh,202.52115,47.16977,0.002,ned,0.036,0.04,,Ergon+2014 A&A 562 A17 (total 0.07 - MW 0.031; consistent with 0),SN*,,STIS,G230L;G230LB;G430L;G750L,9,1,False,True,EXT-STAR;SUPERNOVA,SN 2011dh,SN IIP,,2011-06-01 00:00:00.000,55713.0,none
SN2024XRX,Z 481-10,22.70854,25.91596,0.037376,ned,0.1089,0.0,,none (MW-only),G,,STIS,G230LB;G430L;G750L,8,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024xrx,SN II,0.037376,2024-10-10 08:07:31.998,60593.339,name_unresolved
SN2012CG,SN 2012cg,186.80335,9.42028,0.001,ned,0.0208,0.0,,none (MW-only),SN*,,STIS,G230LB;G430L,8,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2012cg,SN Ia,,2012-05-17 00:00:00.000,56064.0,none
SN2011EK,SN 2011ek,36.45371,18.53333,0.005,ned,0.3552,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,7,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2011ek,SN Ia,0.01,2011-08-04 00:00:00.000,55777.0,none
SN2011BY,SN 2011by,178.93983,55.32606,0.003,ned,0.0138,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,7,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2011by,SN Ia,,2011-04-26 00:00:00.000,55677.0,none
AT2020NXT,SN 2020nxt,339.40098,35.00213,0.029,simbad,0.0759,0.0,,Wang+2024a / F25 Ibn sample (SN2020nxt; no Na I D -> host extinction assumed zero/negligible),SN*,,STIS,G140L;G230L,6,1,False,True,STAR;SUPERNOVA TYPE IB,SN 2020nxt,SN Ibn,,2020-07-03 12:53:16.800,59033.537,name_unresolved
PTF12ENA,SN 2012cp,206.75736,33.89303,0.0166,simbad,0.0211,0.0,,none (MW-only),SN*,,STIS,G230LB,6,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2012cp,SN Ia,,2012-05-23 00:00:00.000,56070.0,none
LSQ15ABL,LSQ 15abl,145.12296,-4.19225,0.087,simbad,0.0433,0.0,,none (MW-only),SN*,,COS;STIS,G140L;G230L,6,1,False,True,EXT-STAR;SUPERNOVA,,,,2015-03-19,57100.0,none
NSNF4,SN 2003bf,122.10975,12.33226,0.0307,simbad,0.0237,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,6,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2003bf,SN Ia,,2003-02-18 00:00:00.000,52688.0,name_unresolved
AT2025JQJ,2dFGRS TGS065Z247,339.565,-24.90506,0.0808,simbad,0.0238,0.0,,none (MW-only),G,,STIS,G230LB;G430L;G750L,6,1,False,True,STAR;SUPERNOVA,SN 2025jqj,SN Ia,0.0808,2025-05-03 08:54:41.184,60798.371,name_unresolved
SN2025XAZ,NGC  1363,53.70815,-9.84249,0.0324396419794725,simbad,0.0342,0.0,,none (MW-only),Sy1,,STIS,G230LB;G430L;G750L,6,1,False,True,STAR;SUPERNOVA TYPE IA,SN 2025xaz,SN Ia,0.031882,2025-09-07 05:45:19.584,60925.24,name_unresolved
ZTF25ABVBCZT,,53.03325,41.59599,0.014677,tns,0.2695,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,6,1,False,True,EXT-STAR;SUPERNOVA,SN 2025ziv,SN II,0.014677,2025-10-01 12:23:35.232,60949.516,name_unresolved
AT-2023TSV,SN 2023tsz,129.37301,-0.04325,0.028,simbad,0.0418,0.0,,none (MW-only),SN*,,STIS,G140L;G230L,6,1,False,True,STAR;SUPERNOVA,AT 2023tsv,,,2023-09-27 11:43:10.848,60214.488,name_unresolved
SN2025AFCR,,189.67406,7.61047,0.1335,tns,0.0266,0.0,,none (MW-only),,,COS;STIS,G140L;G230L;G430L,6,1,False,True,EXT-STAR;SUPERNOVA,SN 2025afcr,SLSN-I,0.1335,2025-11-24 13:03:28.002,61003.544,name_unresolved
SN-UG8189,SN 2012bm,196.44014,46.46476,0.025068,simbad,0.0119,0.0,,none (MW-only),SN*,2MASS J13054598+4627494,STIS,G230LB,6,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2012bm,SN Ia,,2012-03-27 00:00:00.000,56013.0,name_unresolved
SN2024GGI,SN 2024ggi,169.59203,-32.83758,0.002196,ned,0.0807,0.084,0.018,Jacobson-Galan+2024a via Chen+2024 (Na I D; MW 0.070 + host = total 0.154),SN*,,STIS,G140L;G230L,6,1,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II,SN 2024ggi,SN II,0.002435,2024-04-11 03:22:35.616,60411.141,none
SN-2025SHI,,342.17616,27.58278,0.031952,tns,0.0507,0.0,,none (MW-only),,,STIS,G140L;G230L,6,1,False,True,EXT-STAR;SUPERNOVA,SN 2025shi,SN Ibn,0.031952,2025-07-26 07:44:32.001,60882.323,name_unresolved
SN2012BL,SN 2012bl,305.98041,-48.35472,0.0187,ned,0.0345,0.0,,none (MW-only),SN*,,STIS,G230LB,6,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2012bl,SN Ia,,2012-03-26 00:00:00.000,56012.0,none
AT2025NQF,,328.32471,-2.23826,0.0,none,0.0973,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,6,1,False,True,STAR;SUPERNOVA,AT 2025nqf,,,2025-06-16 03:59:55.968,60842.167,"name_unresolved,no_z"
2025WHV,,350.12721,12.24173,0.11,tns,0.0605,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA,SN 2025whv,SLSN-I,0.11,2025-08-28 23:50:06.432,60915.993,name_unresolved
2022MOX,2MASX J13344476+3353253,203.68687,33.88975,0.0236798112422114,simbad,0.0127,0.0,,none (MW-only),GiG,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2022mox,SN Ia,0.023199,2022-06-12 07:16:40.999,59742.303,name_unresolved
AT2023IUC,LEDA 3350515,219.73188,2.28726,0.07676,simbad,0.0445,0.0,,none (MW-only),G,,COS;STIS,G140L;G230L,4,1,False,True,STAR;SUPERNOVA,SN 2023iuc,SN Ibn,0.0768,2023-05-18 06:03:46.368,60082.253,name_unresolved
AT2024WPP,SN 2024wpp,40.52285,-16.9564,0.08678,simbad,0.0294,0.0,,none (MW-only),SN*,,COS;STIS,G140L;G230L,4,1,False,True,STAR;SUPERNOVA;X-RAY TRANSIENT,SN 2024wpp,SN,,2024-09-26 08:54:09.000,60579.371,none
SN2024ISS,SN 2024iss,194.77558,28.81185,0.003334,simbad,0.0096,0.0,,none (MW-only),SN*,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024iss,SN IIb,0.003334,2024-05-12 21:36:45.792,60442.901,none
AT2021ZFW,SN 2021zfw,322.907,11.83295,0.028837,simbad,0.0775,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2021zfw,SN Ia,0.028,2021-09-22 09:05:45.600,59479.379,name_unresolved
2025NGI,,318.04583,-57.27157,0.01116,tns,0.0518,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA,SN 2025ngi,SN II,0.01116,2025-06-12 00:30:12.672,60838.021,name_unresolved
2024TVI,,348.79492,-27.91512,0.03,tns,0.0234,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024tvi,SN IIn,0.03,2024-08-25 07:31:30.996,60547.314,name_unresolved
SN2023GFT,,321.5055,-3.79824,0.0098,tns,0.0604,0.0,,none (MW-only),,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2023gft,SN Ia,0.0098,2023-04-20 09:05:40.416,60054.379,name_unresolved
2024RYV,,6.37496,20.24303,0.015,tns,0.0661,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024ryv,SN IIP,0.015,2024-08-11 13:01:12.000,60533.543,name_unresolved
ZTF24ABYMEET,,336.50658,37.60207,0.0263,tns,0.1153,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024aifs,SN IIn,0.0263,2024-12-08 02:20:32.000,60652.098,name_unresolved
SN2024FAQ,,236.124,40.35655,0.026,tns,0.0143,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024faq,SN II,0.026,2024-03-28 10:40:48.000,60397.445,name_unresolved
2025RYZ,,332.18696,-27.8536,0.016201,tns,,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA,SN 2025ryz,SN II,0.016201,2025-07-23 03:29:19.968,60879.145,name_unresolved
SN2024PSO,,3.09013,17.79419,0.018,ned,0.0534,0.0,,none (MW-only),,,STIS,G230LB;G430L;G750L,4,1,False,True,STAR;SUPERNOVA TYPE II,SN 2024pso,SN II,0.018,2024-07-18 12:53:58.272,60509.537,name_unresolved
AT2021JAD,SN 2021jad,83.34242,-21.95182,0.0061,simbad,0.0347,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2021jad,SN Ia,0.0055,2021-04-11 05:36:57.600,59315.234,name_unresolved
SN2023BEE,SN 2023bee,134.0485,-3.32553,0.006698,simbad,0.0162,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,4,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2023bee,SN Ia,0.006698,2023-02-01 17:59:54.816,59976.75,none
