# SN1993J-STIS lbq908020 G230L NUV z=0.000113  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
NUVA 2129.7459 2129.9866 -1.253295e-17 8.506857e-17 3.6514e-02 4 0
NUVA 2130.1367 2130.3774 1.038806e-16 9.266685e-17 3.9797e-02 4 0
NUVA 2130.5274 2130.7682 1.061576e-16 9.020733e-17 3.9887e-02 4 0
NUVA 2130.9182 2131.1590 7.649038e-17 8.998666e-17 3.8985e-02 4 0
NUVA 2131.3090 2131.5498 -2.927901e-17 8.772589e-17 3.5929e-02 4 0
NUVA 2131.6997 2131.9406 1.638079e-17 8.703107e-17 3.7307e-02 4 0
NUVA 2132.0905 2132.3314 4.192652e-17 8.690721e-17 3.8110e-02 4 0
NUVA 2132.4813 2132.7222 -8.099741e-18 9.033970e-17 3.6624e-02 4 0
NUVA 2132.8720 2133.1131 -1.247406e-17 8.609426e-17 3.6399e-02 4 0
NUVA 2133.2628 2133.5039 -1.536965e-16 8.097302e-17 3.2277e-02 4 0
NUVA 2133.6536 2133.8947 -1.822436e-17 8.524628e-17 3.6225e-02 4 0
NUVA 2134.0443 2134.2855 -5.199879e-17 8.611452e-17 3.5264e-02 4 0
NUVA 2134.4351 2134.6763 -6.032893e-17 8.365759e-17 3.4998e-02 4 0
NUVA 2134.8259 2135.0671 -4.971878e-17 8.566445e-17 3.5379e-02 4 0
NUVA 2135.2167 2135.4579 -6.709816e-17 8.464849e-17 3.4874e-02 4 0
NUVA 2135.6074 2135.8487 -1.531010e-18 8.793797e-17 3.6672e-02 4 0
NUVA 2135.9982 2136.2396 1.087521e-17 8.526553e-17 3.7063e-02 4 0
NUVA 2136.3890 2136.6304 9.436987e-17 8.986488e-17 3.9431e-02 4 0
NUVA 2136.7797 2137.0212 1.082690e-16 8.967718e-17 3.9785e-02 4 0
NUVA 2137.1705 2137.4120 -4.575537e-17 8.453247e-17 3.5344e-02 4 0
NUVA 2137.5613 2137.8028 -3.804228e-17 8.564485e-17 3.5605e-02 4 0
NUVA 2137.9520 2138.1936 6.421178e-17 8.980899e-17 3.8550e-02 4 0
NUVA 2138.3428 2138.5844 5.159369e-17 8.808259e-17 3.8228e-02 4 0
NUVA 2138.7336 2138.9752 1.587095e-17 8.847951e-17 3.7288e-02 4 0
NUVA 2139.1243 2139.3661 5.897179e-17 8.772021e-17 3.8600e-02 4 0
NUVA 2139.5151 2139.7569 -1.335637e-17 8.661212e-17 3.6500e-02 4 0
NUVA 2139.9059 2140.1477 1.128524e-16 9.232945e-17 4.0102e-02 4 0
NUVA 2140.2966 2140.5385 9.104514e-17 9.021229e-17 3.9563e-02 4 0
NUVA 2140.6874 2140.9293 6.700665e-17 8.789591e-17 3.9013e-02 4 0
NUVA 2141.0782 2141.3201 1.195065e-16 9.054266e-17 4.0536e-02 4 0
NUVA 2141.4689 2141.7109 1.902078e-17 8.763719e-17 3.7534e-02 4 0
NUVA 2141.8597 2142.1017 -5.118810e-18 8.532699e-17 3.6914e-02 4 0
NUVA 2142.2505 2142.4926 1.206546e-16 9.266289e-17 4.0494e-02 4 0
NUVA 2142.6412 2142.8834 7.124579e-17 8.797618e-17 3.9135e-02 4 0
NUVA 2143.0320 2143.2742 -1.781880e-16 8.168696e-17 3.1987e-02 4 0
NUVA 2143.4228 2143.6650 4.199885e-17 8.801103e-17 3.8366e-02 4 0
NUVA 2143.8135 2144.0558 1.028342e-16 8.798262e-17 4.0099e-02 4 0
NUVA 2144.2043 2144.4466 1.769199e-17 8.861237e-17 3.7624e-02 4 0
NUVA 2144.5951 2144.8374 1.298499e-17 8.625510e-17 3.7478e-02 4 0
NUVA 2144.9859 2145.2282 9.637117e-17 9.077134e-17 3.9893e-02 4 0
NUVA 2145.3766 2145.6190 1.461391e-16 9.250110e-17 4.1273e-02 4 0
NUVA 2145.7674 2146.0099 -4.856469e-18 8.572193e-17 3.6996e-02 4 0
NUVA 2146.1582 2146.4007 -5.156593e-17 8.776388e-17 3.5655e-02 4 0
NUVA 2146.5489 2146.7915 -5.843648e-18 8.736713e-17 3.7050e-02 4 0
NUVA 2146.9397 2147.1823 -8.477481e-17 8.336615e-17 3.4780e-02 4 0
NUVA 2147.3305 2147.5731 -4.769349e-17 8.386634e-17 3.5784e-02 4 0
NUVA 2147.7212 2147.9639 -7.836380e-17 8.672526e-17 3.4980e-02 4 0
NUVA 2148.1120 2148.3547 -7.227217e-17 8.412822e-17 3.5126e-02 4 0
NUVA 2148.5028 2148.7455 -3.842418e-17 8.669325e-17 3.6121e-02 4 0
NUVA 2148.8935 2149.1364 -2.082710e-17 8.578497e-17 3.6677e-02 4 0
NUVA 2149.2843 2149.5272 -5.759303e-17 8.512582e-17 3.5594e-02 4 0
NUVA 2149.6751 2149.9180 -1.397695e-16 8.153510e-17 3.3152e-02 4 0
NUVA 2150.0658 2150.3088 6.383118e-17 9.066547e-17 3.9025e-02 4 0
NUVA 2150.4566 2150.6996 -8.756778e-18 8.683141e-17 3.6916e-02 4 0
NUVA 2150.8474 2151.0904 -2.055702e-17 8.653635e-17 3.6586e-02 4 0
NUVA 2151.2381 2151.4812 -1.265271e-16 8.147015e-17 3.3500e-02 4 0
NUVA 2151.6289 2151.8720 -6.229800e-17 8.460121e-17 3.5349e-02 4 0
NUVA 2152.0197 2152.2629 -5.414325e-17 8.472218e-17 3.5621e-02 4 0
NUVA 2152.4104 2152.6537 -2.692133e-18 8.657734e-17 3.7089e-02 4 0
NUVA 2152.8012 2153.0445 -1.068590e-17 8.640622e-17 3.6911e-02 4 0
NUVA 2153.1920 2153.4353 1.530697e-17 8.929257e-17 3.7618e-02 4 0
NUVA 2153.5827 2153.8261 3.725089e-17 8.769281e-17 3.8212e-02 4 0
NUVA 2153.9735 2154.2169 -5.007454e-17 8.666630e-17 3.5668e-02 4 0
NUVA 2154.3643 2154.6077 -3.652480e-17 8.529543e-17 3.6025e-02 0 0
NUVA 2154.7551 2154.9985 4.356252e-17 8.484834e-17 3.8345e-02 0 0
NUVA 2155.1458 2155.3894 -2.064966e-18 8.732965e-17 3.7044e-02 0 0
NUVA 2155.5366 2155.7802 3.203205e-17 8.732582e-17 3.8028e-02 0 0
NUVA 2155.9274 2156.1710 5.517218e-18 8.513461e-17 3.7247e-02 0 0
NUVA 2156.3181 2156.5618 3.368530e-17 8.921201e-17 3.8053e-02 0 0
NUVA 2156.7089 2156.9526 -3.537444e-17 8.744603e-17 3.6075e-02 0 0
NUVA 2157.0997 2157.3434 -4.525729e-17 8.368548e-17 3.5750e-02 0 0
NUVA 2157.4904 2157.7342 -3.110536e-17 8.847370e-17 3.6128e-02 0 0
NUVA 2157.8812 2158.1250 -5.316527e-17 8.683250e-17 3.5469e-02 0 0
NUVA 2158.2720 2158.5158 -7.276665e-17 8.286425e-17 3.4808e-02 0 0
NUVA 2158.6627 2158.9067 3.739297e-17 8.530902e-17 3.7965e-02 0 0
NUVA 2159.0535 2159.2975 5.594056e-17 9.010631e-17 3.8461e-02 0 0
NUVA 2159.4443 2159.6883 -8.841630e-17 8.226302e-17 3.4253e-02 0 0
NUVA 2159.8350 2160.0791 1.188300e-16 9.240353e-17 4.0274e-02 0 0
NUVA 2160.2258 2160.4699 4.539369e-17 8.793601e-17 3.8200e-02 0 0
NUVA 2160.6166 2160.8607 4.413521e-17 8.776239e-17 3.8139e-02 0 0
NUVA 2161.0073 2161.2515 -9.311822e-18 8.584153e-17 3.6564e-02 0 0
NUVA 2161.3981 2161.6423 -1.751685e-17 8.362944e-17 3.6392e-02 0 0
NUVA 2161.7889 2162.0332 -1.804479e-17 8.670587e-17 3.6364e-02 0 0
NUVA 2162.1796 2162.4240 2.120324e-17 8.721802e-17 3.7517e-02 0 0
NUVA 2162.5704 2162.8148 1.849363e-17 8.608090e-17 3.7427e-02 0 0
NUVA 2162.9612 2163.2056 2.029628e-17 8.875219e-17 3.7531e-02 0 0
NUVA 2163.3519 2163.5964 3.038178e-17 8.562211e-17 3.7819e-02 0 0
NUVA 2163.7427 2163.9872 -6.731040e-18 8.723930e-17 3.6719e-02 0 0
NUVA 2164.1335 2164.3780 5.960401e-18 8.697514e-17 3.7041e-02 0 0
NUVA 2164.5243 2164.7688 -2.648285e-17 8.578514e-17 3.6081e-02 0 0
NUVA 2164.9150 2165.1597 7.980476e-18 8.788481e-17 3.7094e-02 0 0
NUVA 2165.3058 2165.5505 9.052262e-17 8.865172e-17 3.9545e-02 0 0
NUVA 2165.6966 2165.9413 5.592370e-18 8.471272e-17 3.7024e-02 0 0
NUVA 2166.0873 2166.3321 1.835559e-17 8.636257e-17 3.7364e-02 0 0
NUVA 2166.4781 2166.7229 1.223707e-16 9.041500e-17 4.0279e-02 0 0
NUVA 2166.8689 2167.1137 1.628250e-16 9.092317e-17 4.1415e-02 0 0
NUVA 2167.2596 2167.5045 1.481615e-16 9.032380e-17 4.0945e-02 0 0
NUVA 2167.6504 2167.8953 1.227717e-16 8.803702e-17 4.0233e-02 0 0
NUVA 2168.0412 2168.2862 -3.970676e-17 8.492288e-17 3.5446e-02 0 0
NUVA 2168.4319 2168.6770 -3.041216e-17 8.387324e-17 3.5631e-02 0 0
NUVA 2168.8227 2169.0678 7.514158e-17 8.688930e-17 3.8710e-02 0 0
NUVA 2169.2135 2169.4586 -6.541939e-17 8.460277e-17 3.4609e-02 0 0
NUVA 2169.6042 2169.8494 -2.316018e-17 8.373600e-17 3.5832e-02 0 0
NUVA 2169.9950 2170.2402 -5.639204e-17 8.490053e-17 3.4901e-02 0 0
NUVA 2170.3858 2170.6310 -1.044502e-17 8.520706e-17 3.6279e-02 0 0
NUVA 2170.7765 2171.0218 -1.476874e-17 8.622745e-17 3.6161e-02 0 0
NUVA 2171.1673 2171.4126 5.264389e-17 8.870047e-17 3.8140e-02 0 0
NUVA 2171.5581 2171.8035 4.475942e-17 8.664712e-17 3.7982e-02 0 0
NUVA 2171.9488 2172.1943 -6.218790e-17 8.471911e-17 3.4824e-02 0 0
NUVA 2172.3396 2172.5851 1.252768e-16 8.639407e-17 4.0423e-02 0 0
NUVA 2172.7304 2172.9759 -3.839360e-17 8.554988e-17 3.5612e-02 0 0
