wavelength_A,flux
1.983200000000021646e+03,5.088240161406004394e-13
1.984600000000021737e+03,5.145827786830287466e-13
1.986000000000021828e+03,5.204635807978781759e-13
1.987400000000021919e+03,5.219319092338822707e-13
1.988800000000022010e+03,5.183525348692099788e-13
1.990200000000022101e+03,5.134644917781627606e-13
1.991600000000022192e+03,5.172903797383167556e-13
1.993000000000022283e+03,5.037404946199365349e-13
1.994400000000022374e+03,5.074944999879213294e-13
1.995800000000022465e+03,5.032059894052798194e-13
1.997200000000022555e+03,4.999376214820999413e-13
1.998600000000022646e+03,5.061130091264073577e-13
2.000000000000022737e+03,4.959182727600501190e-13
2.001400000000022828e+03,4.882602029897347630e-13
2.002800000000022919e+03,4.880877924214597171e-13
2.004200000000023010e+03,4.890774607559257479e-13
2.005600000000023101e+03,4.859071618307987416e-13
2.007000000000023192e+03,4.872201189336861844e-13
2.008400000000023283e+03,4.873940417502815978e-13
2.009800000000023374e+03,4.846254468024817693e-13
2.011200000000023465e+03,4.832069657618038625e-13
2.012600000000023556e+03,4.805045005208825535e-13
2.014000000000023647e+03,4.775095069687785223e-13
2.015400000000023738e+03,4.851194620111682159e-13
2.016800000000023829e+03,4.801119941958102642e-13
2.018200000000023920e+03,6.233089102492070958e-13
2.019600000000024011e+03,5.193149048870477197e-13
2.021000000000024102e+03,4.738530708492233406e-13
2.022400000000024193e+03,4.731106414665453599e-13
2.023800000000024284e+03,4.525095846467260240e-13
2.025200000000024374e+03,4.315784567961891984e-13
2.026600000000024465e+03,4.422689773644752395e-13
2.028000000000024556e+03,4.878342748229163994e-13
2.029400000000024647e+03,4.960348504179229379e-13
2.030800000000024738e+03,4.607164757735534843e-13
2.032200000000024829e+03,4.591000762428633824e-13
2.033600000000024920e+03,4.736779063089919122e-13
2.035000000000025011e+03,4.649559245792955974e-13
2.036400000000025102e+03,4.557918679323836511e-13
2.037800000000025193e+03,4.568830579861793188e-13
2.039200000000025284e+03,4.677220009971833876e-13
2.040600000000025375e+03,4.625285864798256314e-13
2.042000000000025466e+03,4.631984061686770732e-13
2.043400000000025557e+03,4.575987836062089218e-13
2.044800000000025648e+03,4.578975446260793798e-13
2.046200000000025739e+03,4.530385569486611416e-13
2.047600000000025830e+03,4.420620958656136071e-13
2.049000000000025921e+03,4.502417413459819140e-13
2.050400000000026012e+03,4.495208013302729763e-13
2.051800000000026102e+03,4.450256219467931279e-13
2.053200000000026193e+03,4.463821827337634626e-13
2.054600000000026284e+03,4.403831672739658683e-13
2.056000000000026375e+03,4.457288624386286004e-13
2.057400000000026466e+03,4.451148006642545599e-13
2.058800000000026557e+03,4.391481067930285415e-13
2.060200000000026648e+03,4.288425743435889068e-13
2.061600000000026739e+03,4.128362947910157543e-13
2.063000000000026830e+03,4.116050240982210711e-13
2.064400000000026921e+03,4.228161655813093415e-13
2.065800000000027012e+03,4.314668734204378760e-13
2.067200000000027103e+03,4.402031350498425339e-13
2.068600000000027194e+03,4.486095442893937874e-13
2.070000000000027285e+03,4.458647091769128846e-13
2.071400000000027376e+03,4.451406903448810253e-13
2.072800000000027467e+03,4.470185329020778027e-13
2.074200000000027558e+03,4.481546563856185190e-13
2.075600000000027649e+03,4.492907798691592354e-13
2.077000000000027740e+03,4.463833578726310242e-13
2.078400000000027831e+03,4.371263316062389108e-13
2.079800000000027921e+03,4.320964449399837897e-13
2.081200000000028012e+03,4.346107825496547781e-13
2.082600000000028103e+03,6.521022730152222454e-13
2.084000000000028194e+03,7.593512975529638055e-13
2.085400000000028285e+03,4.729542206686640414e-13
2.086800000000028376e+03,4.237044276252074003e-13
2.088200000000028467e+03,4.245381352933545659e-13
2.089600000000028558e+03,4.351130159127847128e-13
2.091000000000028649e+03,4.362106791257960528e-13
2.092400000000028740e+03,4.219897927872863533e-13
2.093800000000028831e+03,4.193194724846257729e-13
2.095200000000028922e+03,4.192701444761935646e-13
2.096600000000029013e+03,4.192814604987090001e-13
2.098000000000029104e+03,4.192927765212244356e-13
2.099400000000029195e+03,4.192494552537126459e-13
2.100800000000029286e+03,4.180323210577463771e-13
2.102200000000029377e+03,4.168151868617801083e-13
2.103600000000029468e+03,4.155980526658138395e-13
2.105000000000029559e+03,4.161240165838369222e-13
2.106400000000029650e+03,4.272958602982830959e-13
2.107800000000029740e+03,4.221861835538519999e-13
2.109200000000029831e+03,4.119719429980407930e-13
