name,n_spec,ra,dec,instr,gratings,is_remnant,has_uv,classification
PTF12ENA,6,206.75736,33.89303,STIS,G230LB,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2020NXT,6,339.40098,35.00213,STIS,G140L;G230L,False,True,STAR;SUPERNOVA TYPE IB
ZTF25ABVBCZT,6,53.03325,41.59599,STIS,G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
AT-2023TSV,6,129.37301,-0.04325,STIS,G140L;G230L,False,True,STAR;SUPERNOVA
SN-2025SHI,6,342.17616,27.58278,STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
PTF11KLY,6,210.77539,54.27974,STIS,G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
LSQ15ABL,6,145.12296,-4.19225,COS;STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
SN2025AFCR,6,189.67406,7.61047,COS;STIS,G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA
SN2024GGI,6,169.59203,-32.83758,STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II
SN2025XAZ,6,53.70815,-9.84249,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE IA
SN-UG8189,6,196.44014,46.46476,STIS,G230LB,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2025JQJ,6,339.565,-24.90506,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA
SN2012BL,6,305.98041,-48.35472,STIS,G230LB,False,True,EXT-STAR;SUPERNOVA TYPE IA
ZTF21AAKILYD,4,216.59217,5.85924,COS;STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
2025RYZ,4,332.18696,-27.8536,STIS,G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
2025WHV,4,350.12721,12.24173,STIS,G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
AT2024WPP,4,40.52285,-16.9564,COS;STIS,G140L;G230L,False,True,STAR;SUPERNOVA;X-RAY TRANSIENT
